female_7grade_very_safe,male_7grade_very_safe,gay_lesbian_very_unsafe,straight_very_unsafe,unsure_very_unsafe,low_connect_very_safe,low_connect_safe,low_connect_neutral,low_connect_unsafe,low_connect_very_unsafe,parents_not_finish_high_school_neutral,parents_finish_high_school_neutral,parents_some_college_neutral,parents_bachelors_neutral,black_safe,native_american_safe,asian_safe,hispanic_safe,pacific_islander_safe,white_safe,multiracial_safe,other_race_safe
0.177,0.231,0.057,0.021,0.029,0.095,0.164,0.433,0.172,0.137,0.385,0.325,0.314,0.265,0.421,0.175,0.475,0.444,0.57,0.476,0.433,0.496
0.208,0.221,0.047,0.024,0.037,0.081,0.118,0.422,0.169,0.21,0.374,0.332,0.314,0.275,0.396,0.278,0.517,0.427,0.497,0.478,0.438,0.394
0.229,0.258,0.077,0.034,0.046,0.073,0.1,0.461,0.161,0.206,0.404,0.368,0.386,0.318,0.364,0.387,0.465,0.396,0.405,0.355,0.339,0.362
0.154,0.219,0.068,0.054,0.068,0.048,0.111,0.387,0.189,0.266,0.395,0.377,0.392,0.396,0.346,0.0,0.308,0.365,0.333,0.409,0.385,0.417
0.226,0.28,0.019,0.017,0.022,0.08,0.124,0.462,0.177,0.158,0.365,0.291,0.296,0.252,0.333,0.19,0.516,0.454,0.39,0.485,0.452,0.428
0.325,0.358,0.035,0.008,0.009,0.191,0.214,0.374,0.13,0.092,0.244,0.257,0.229,0.143,0.536,0.229,0.554,0.457,0.469,0.503,0.539,0.562
0.296,0.298,0.02,0.01,0.015,0.18,0.227,0.381,0.136,0.076,0.241,0.22,0.189,0.161,0.437,0.271,0.514,0.468,0.487,0.475,0.451,0.454
0.256,0.251,0.023,0.014,0.032,0.084,0.145,0.374,0.225,0.172,0.351,0.291,0.286,0.221,0.333,0.333,0.5,0.446,0.371,0.472,0.477,0.522
0.182,0.2,0.026,0.025,0.041,0.094,0.16,0.479,0.136,0.131,0.401,0.325,0.335,0.331,0.388,0.25,0.465,0.423,0.388,0.447,0.426,0.328
0.217,0.252,0.034,0.015,0.037,0.106,0.147,0.471,0.154,0.122,0.301,0.323,0.293,0.255,0.503,0.238,0.491,0.479,0.558,0.475,0.498,0.434
0.119,0.155,0.044,0.04,0.058,0.051,0.081,0.481,0.216,0.171,0.462,0.453,0.443,0.415,0.276,0.087,0.29,0.36,0.214,0.306,0.346,0.358
0.224,0.203,0.032,0.02,0.032,0.111,0.131,0.427,0.17,0.161,0.397,0.313,0.289,0.27,0.376,0.286,0.482,0.431,0.405,0.471,0.449,0.441
0.215,0.235,0.026,0.023,0.039,0.149,0.156,0.374,0.189,0.132,0.306,0.315,0.298,0.265,0.381,0.265,0.419,0.421,0.375,0.46,0.352,0.349
0.281,0.333,0.039,0.013,0.019,0.086,0.163,0.473,0.151,0.127,0.363,0.271,0.285,0.218,0.441,0.453,0.485,0.445,0.515,0.439,0.442,0.4
0.234,0.287,0.041,0.021,0.032,0.147,0.156,0.43,0.146,0.122,0.351,0.295,0.301,0.281,0.444,0.233,0.497,0.417,0.429,0.411,0.374,0.289
0.195,0.251,0.038,0.015,0.028,0.183,0.183,0.399,0.129,0.106,0.29,0.258,0.255,0.235,0.378,0.179,0.47,0.461,0.457,0.521,0.447,0.361
0.129,0.151,0.053,0.021,0.032,0.094,0.164,0.455,0.15,0.136,0.362,0.324,0.379,0.313,0.395,0.182,0.51,0.427,0.583,0.463,0.461,0.439
0.209,0.251,0.046,0.022,0.044,0.165,0.179,0.396,0.141,0.119,0.354,0.298,0.3,0.306,0.383,0.269,0.462,0.41,0.366,0.42,0.356,0.397
0.303,0.285,0.026,0.008,0.011,0.111,0.157,0.495,0.141,0.096,0.315,0.281,0.22,0.188,0.497,0.176,0.495,0.473,0.614,0.497,0.498,0.426
0.208,0.256,0.018,0.026,0.037,0.112,0.153,0.4,0.141,0.194,0.294,0.307,0.27,0.287,0.392,0.1,0.518,0.461,0.524,0.431,0.5,0.425
0.231,0.292,0.07,0.026,0.041,0.113,0.155,0.423,0.143,0.166,0.344,0.292,0.301,0.237,0.45,0.214,0.25,0.445,0.545,0.382,0.527,0.383
0.256,0.265,0.055,0.025,0.036,0.113,0.156,0.398,0.149,0.184,0.34,0.309,0.303,0.304,0.259,0.213,0.477,0.435,0.375,0.316,0.396,0.398
0.14,0.23,0.056,0.03,0.042,0.135,0.111,0.422,0.165,0.168,0.369,0.328,0.367,0.342,0.388,0.118,0.361,0.41,0.452,0.179,0.349,0.39
0.289,0.332,0.039,0.027,0.035,0.081,0.121,0.407,0.182,0.209,0.343,0.302,0.337,0.249,0.342,0.308,0.514,0.445,0.679,0.33,0.415,0.406
0.298,0.326,0.033,0.01,0.025,0.242,0.203,0.339,0.119,0.097,0.255,0.252,0.217,0.159,0.385,0.377,0.497,0.452,0.492,0.499,0.46,0.458
0.301,0.323,0.01,0.013,0.014,0.138,0.184,0.429,0.141,0.107,0.278,0.293,0.262,0.192,0.377,0.3,0.501,0.452,0.411,0.471,0.471,0.5
0.231,0.24,0.054,0.021,0.037,0.082,0.114,0.384,0.222,0.198,0.341,0.275,0.318,0.276,0.409,0.255,0.516,0.441,0.4,0.459,0.445,0.488
0.189,0.271,0.049,0.025,0.025,0.067,0.144,0.391,0.187,0.211,0.339,0.294,0.278,0.321,0.347,0.188,0.351,0.451,0.5,0.454,0.368,0.373
0.12,0.15,0.039,0.031,0.067,0.05,0.119,0.466,0.193,0.173,0.399,0.38,0.42,0.346,0.404,0.061,0.469,0.426,0.379,0.398,0.367,0.456
0.258,0.211,0.017,0.017,0.019,0.165,0.161,0.418,0.15,0.106,0.313,0.305,0.266,0.193,0.422,0.238,0.519,0.464,0.481,0.451,0.469,0.525
0.275,0.29,0.017,0.016,0.044,0.101,0.159,0.406,0.163,0.17,0.248,0.247,0.271,0.199,0.361,0.241,0.451,0.464,0.429,0.46,0.448,0.547
0.107,0.149,0.029,0.044,0.088,0.04,0.066,0.477,0.192,0.225,0.302,0.368,0.348,0.352,0.333,0.045,0.292,0.351,0.5,0.424,0.435,0.296
0.318,0.292,0.072,0.022,0.025,0.094,0.203,0.406,0.153,0.144,0.345,0.305,0.31,0.26,0.457,0.308,0.525,0.439,0.542,0.448,0.471,0.378
0.153,0.208,0.027,0.024,0.014,0.138,0.176,0.394,0.147,0.144,0.287,0.299,0.27,0.328,0.5,0.115,0.455,0.414,0.512,0.432,0.426,0.471
0.399,0.418,0.006,0.007,0.023,0.342,0.185,0.28,0.116,0.077,0.256,0.213,0.154,0.126,0.291,0.431,0.475,0.402,0.513,0.441,0.432,0.442
0.171,0.22,0.037,0.022,0.029,0.077,0.128,0.447,0.186,0.162,0.389,0.337,0.337,0.269,0.395,0.198,0.502,0.409,0.488,0.458,0.425,0.385
0.177,0.222,0.055,0.037,0.041,0.125,0.109,0.371,0.178,0.217,0.335,0.324,0.333,0.294,0.306,0.533,0.444,0.388,0.392,0.396,0.332,0.361
0.216,0.301,0.088,0.023,0.046,0.18,0.184,0.373,0.101,0.161,0.336,0.288,0.31,0.265,0.455,0.273,0.495,0.452,0.441,0.439,0.349,0.514
0.259,0.317,0.015,0.014,0.025,0.106,0.099,0.464,0.179,0.152,0.332,0.285,0.27,0.256,0.333,0.364,0.512,0.456,0.488,0.512,0.445,0.545
0.123,0.136,0.0,0.025,0.02,0.163,0.264,0.309,0.146,0.118,0.343,0.248,0.249,0.214,0.406,0.211,0.541,0.485,0.636,0.507,0.509,0.333
0.363,0.332,0.054,0.012,0.034,0.187,0.172,0.389,0.101,0.152,0.244,0.235,0.22,0.171,0.532,0.292,0.482,0.472,0.571,0.468,0.453,0.471
0.268,0.245,0.026,0.011,0.006,0.149,0.213,0.367,0.17,0.101,0.303,0.253,0.228,0.18,0.333,0.214,0.586,0.488,0.586,0.49,0.433,0.371
0.252,0.309,0.048,0.011,0.037,0.187,0.249,0.371,0.103,0.089,0.242,0.24,0.218,0.211,0.423,0.283,0.561,0.47,0.381,0.463,0.461,0.455
0.216,0.227,0.056,0.036,0.025,0.058,0.132,0.397,0.212,0.201,0.352,0.37,0.374,0.355,0.392,0.125,0.295,0.413,0.444,0.419,0.358,0.506
0.318,0.362,0.035,0.015,0.018,0.214,0.199,0.354,0.133,0.1,0.288,0.252,0.223,0.189,0.448,0.311,0.505,0.439,0.489,0.458,0.428,0.39
0.104,0.123,0.094,0.039,0.026,0.055,0.112,0.436,0.17,0.227,0.422,0.402,0.423,0.36,0.359,0.143,0.474,0.409,0.418,0.415,0.379,0.395
